# MemVanta trained-model layer profile
prefill_ms=47111 decode_total_ms=12749 sampling_ms=0.524498
prefill_cycles_per_token=955503872.88 decode_cycles_per_token=2068603307.88
qkv_projection_ms=13875.01 attention_output_projection_ms=4600.19 ffn_gemm_ms=36927.60 output_head_ms=3415.94
non_gemm_core_ms=1040.76 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,443.00,143.90,1158.05,1744.95,2.97,12.12
1,432.45,144.72,1158.37,1735.54,2.95,12.05
2,435.04,142.44,1155.21,1732.69,2.95,12.03
3,431.87,144.18,1145.06,1721.11,2.93,11.95
4,434.10,142.99,1145.86,1722.95,2.93,11.96
5,431.41,142.36,1146.76,1720.52,2.93,11.95
6,431.38,141.91,1155.15,1728.44,2.94,12.00
7,433.65,145.17,1159.33,1738.15,2.96,12.07
8,435.23,144.12,1148.49,1727.85,2.94,12.00
9,430.14,142.84,1156.83,1729.82,2.94,12.01
10,432.88,143.05,1155.24,1731.16,2.94,12.02
11,431.79,145.98,1161.81,1739.58,2.96,12.08
12,430.44,145.97,1158.97,1735.38,2.95,12.05
13,433.14,142.12,1149.66,1724.93,2.93,11.98
14,433.10,143.25,1153.15,1729.50,2.94,12.01
15,434.31,143.62,1158.64,1736.57,2.95,12.06
16,432.60,142.00,1154.81,1729.42,2.94,12.01
17,433.43,142.59,1153.84,1729.85,2.94,12.01
18,436.07,143.62,1150.51,1730.19,2.94,12.02
19,433.21,144.11,1148.17,1725.50,2.93,11.98
20,432.87,143.87,1152.48,1729.22,2.94,12.01
21,430.39,142.59,1155.35,1728.33,2.94,12.00
22,435.22,144.44,1152.49,1732.15,2.94,12.03
23,433.63,142.51,1152.87,1729.01,2.94,12.01
24,432.43,143.90,1152.53,1728.86,2.94,12.01
25,435.56,145.10,1153.82,1734.48,2.95,12.04
26,432.75,143.49,1152.39,1728.63,2.94,12.00
27,434.31,146.60,1153.34,1734.24,2.95,12.04
28,437.61,143.72,1160.60,1741.93,2.96,12.10
29,434.15,144.22,1155.61,1733.97,2.95,12.04
30,434.04,142.70,1152.41,1729.15,2.94,12.01
31,432.81,146.12,1159.80,1738.73,2.96,12.07
profile_csv=sevenb-ffn-kernel-ab/baseline-1.csv
