# MemVanta trained-model layer profile
prefill_ms=35734 decode_total_ms=9748.41 sampling_ms=0.49761
prefill_cycles_per_token=724755121.80 decode_cycles_per_token=1581734158.88
qkv_projection_ms=10319.08 attention_output_projection_ms=3449.85 ffn_gemm_ms=27945.86 output_head_ms=2934.15
non_gemm_core_ms=832.97 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,324.52,109.79,878.02,1312.33,2.94,9.11
1,320.97,107.62,873.63,1302.22,2.92,9.04
2,323.54,110.73,872.88,1307.15,2.93,9.08
3,321.26,106.84,871.28,1299.38,2.91,9.02
4,323.34,106.33,869.58,1299.26,2.91,9.02
5,321.69,109.01,874.35,1305.05,2.92,9.06
6,322.75,107.63,874.58,1304.97,2.92,9.06
7,321.67,108.14,873.15,1302.95,2.92,9.05
8,320.91,109.74,875.31,1305.96,2.92,9.07
9,322.73,107.07,870.08,1299.87,2.91,9.03
10,324.02,106.51,870.92,1301.45,2.91,9.04
11,320.75,108.33,873.35,1302.43,2.92,9.04
12,321.34,106.74,878.97,1307.05,2.93,9.08
13,321.78,107.15,872.97,1301.90,2.92,9.04
14,321.56,107.62,872.05,1301.22,2.91,9.04
15,325.14,107.00,875.62,1307.76,2.93,9.08
16,322.42,107.39,874.88,1304.69,2.92,9.06
17,323.97,107.91,875.84,1307.73,2.93,9.08
18,322.98,107.67,872.41,1303.06,2.92,9.05
19,323.33,107.50,877.12,1307.95,2.93,9.08
20,322.25,108.88,868.75,1299.88,2.91,9.03
21,321.16,107.26,871.59,1300.02,2.91,9.03
22,321.70,108.32,871.15,1301.17,2.91,9.04
23,323.70,107.32,874.68,1305.70,2.92,9.07
24,322.84,106.38,873.98,1303.19,2.92,9.05
25,324.38,107.97,875.52,1307.86,2.93,9.08
26,322.64,107.71,873.01,1303.36,2.92,9.05
27,322.09,107.59,873.69,1303.38,2.92,9.05
28,321.30,106.80,872.02,1300.11,2.91,9.03
29,322.03,109.36,869.84,1301.24,2.91,9.04
30,321.87,107.47,871.05,1300.40,2.91,9.03
31,322.46,108.08,873.58,1304.12,2.92,9.06
profile_csv=sevenb-ffn-kernel-ab/baseline-2.csv
