layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,90.397465
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,90.881664
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,90.623655
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,93.203485
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,237.018191
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,235.359387
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,255.500893
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,92.607891
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,90.045215
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,90.245998
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,92.472108
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,236.325681
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,235.270973
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,256.024503
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,91.198711
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,90.951228
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,90.914263
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,91.354666
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,237.438816
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,235.055551
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,252.159208
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,92.634770
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,91.005831
