# MemVanta trained-model layer profile
prefill_ms=48783.1 decode_total_ms=11405.8 sampling_ms=0.365224
prefill_cycles_per_token=931991724.59 decode_cycles_per_token=1743243059.50
qkv_projection_ms=14120.26 attention_output_projection_ms=4698.70 ffn_gemm_ms=37308.11 output_head_ms=3039.80
non_gemm_core_ms=1021.61 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,441.55,147.48,1171.59,1760.62,2.98,12.23
1,441.27,147.17,1166.56,1755.00,2.97,12.19
2,440.24,146.94,1166.70,1753.88,2.96,12.18
3,443.26,146.64,1169.28,1759.17,2.97,12.22
4,440.93,145.92,1164.86,1751.72,2.96,12.16
5,440.26,146.30,1166.88,1753.44,2.96,12.18
6,442.26,147.00,1161.40,1750.66,2.96,12.16
7,442.09,146.30,1171.59,1759.98,2.97,12.22
8,441.91,146.83,1171.35,1760.08,2.97,12.22
9,440.11,145.92,1159.84,1745.86,2.95,12.12
10,440.78,145.82,1168.21,1754.82,2.97,12.19
11,441.69,147.82,1167.13,1756.64,2.97,12.20
12,441.04,147.56,1167.02,1755.62,2.97,12.19
13,439.64,147.93,1160.84,1748.41,2.96,12.14
14,441.21,146.90,1169.89,1758.00,2.97,12.21
15,444.67,145.56,1163.07,1753.30,2.96,12.18
16,440.82,146.65,1162.52,1749.99,2.96,12.15
17,440.59,146.64,1165.24,1752.47,2.96,12.17
18,440.97,147.38,1173.87,1762.21,2.98,12.24
19,439.99,145.93,1165.65,1751.58,2.96,12.16
20,439.11,146.16,1170.80,1756.08,2.97,12.19
21,440.53,147.79,1166.22,1754.54,2.97,12.18
22,442.20,145.98,1165.16,1753.34,2.96,12.18
23,442.14,147.51,1165.71,1755.36,2.97,12.19
24,441.29,146.23,1164.83,1752.35,2.96,12.17
25,442.26,147.14,1165.45,1754.85,2.97,12.19
26,439.86,147.07,1160.09,1747.03,2.95,12.13
27,444.75,147.01,1162.13,1753.89,2.96,12.18
28,438.31,147.59,1165.31,1751.20,2.96,12.16
29,439.02,147.42,1164.00,1750.44,2.96,12.16
30,445.73,147.07,1160.17,1752.97,2.96,12.17
31,439.78,147.04,1164.73,1751.55,2.96,12.16
profile_csv=sevenb-ffn-kernel-ab/baseline-3.csv
