layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,126.474476
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,123.453851
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,123.125937
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,124.364982
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,325.506770
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,326.342067
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,335.797019
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,125.304581
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,124.378092
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,124.752220
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,124.654523
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,325.860540
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,326.801767
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,330.577086
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,125.535304
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,122.946070
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,124.491130
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,124.692345
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,326.853008
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,327.120140
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,328.756621
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,125.825997
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,124.056280
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,124.436276
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,124.668889
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,327.163483
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,325.385784
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,329.559461
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,125.323531
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,124.099099
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,124.076614
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,125.805799
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,327.253158
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,324.651536
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,331.967799
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,124.155556
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,123.489948
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,124.084824
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,124.176714
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,326.820191
5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,32,4,327.212540
5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,329.199030
6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,126.001804
6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,124.165491
6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,124.469377
