# MemVanta trained-model layer profile
prefill_ms=48204.3 decode_total_ms=11429.2 sampling_ms=0.367836
prefill_cycles_per_token=920940467.55 decode_cycles_per_token=1746830040.12
qkv_projection_ms=13989.61 attention_output_projection_ms=4756.59 ffn_gemm_ms=36805.15 output_head_ms=3044.92
non_gemm_core_ms=1036.89 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,437.66,149.48,1151.86,1739.01,2.97,12.08
1,435.20,148.58,1147.98,1731.75,2.96,12.03
2,434.81,147.13,1157.49,1739.43,2.97,12.08
3,438.08,148.42,1147.23,1733.73,2.96,12.04
4,436.74,148.77,1150.22,1735.73,2.96,12.05
5,436.74,148.28,1151.60,1736.63,2.96,12.06
6,435.74,149.75,1150.27,1735.76,2.96,12.05
7,438.28,148.19,1152.91,1739.38,2.97,12.08
8,436.85,149.57,1151.72,1738.13,2.97,12.07
9,437.95,147.41,1148.48,1733.84,2.96,12.04
10,439.45,148.91,1155.24,1743.59,2.98,12.11
11,438.04,149.51,1147.75,1735.30,2.96,12.05
12,435.12,148.23,1147.36,1730.71,2.95,12.02
13,440.21,146.97,1142.23,1729.41,2.95,12.01
14,436.97,148.27,1145.09,1730.33,2.95,12.02
15,436.67,147.65,1147.57,1731.88,2.96,12.03
16,434.96,148.84,1154.07,1737.86,2.97,12.07
17,439.20,147.64,1151.36,1738.20,2.97,12.07
18,437.74,151.63,1153.25,1742.62,2.97,12.10
19,441.21,149.12,1151.59,1741.92,2.97,12.10
20,435.58,147.18,1155.01,1737.77,2.97,12.07
21,435.43,148.29,1148.26,1731.97,2.96,12.03
22,435.71,148.12,1150.32,1734.15,2.96,12.04
23,436.53,149.40,1146.25,1732.18,2.96,12.03
24,438.89,151.17,1150.21,1740.28,2.97,12.09
25,436.59,148.45,1149.38,1734.41,2.96,12.04
26,437.56,148.16,1149.82,1735.55,2.96,12.05
27,437.73,148.77,1147.22,1733.72,2.96,12.04
28,437.19,148.87,1149.50,1735.56,2.96,12.05
29,437.93,149.52,1148.87,1736.32,2.96,12.06
30,436.14,148.54,1150.76,1735.44,2.96,12.05
31,436.73,147.79,1154.29,1738.81,2.97,12.08
profile_csv=sevenb-ffn-kernel-ab/baseline.csv
