layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,89.973933
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,89.815745
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,90.284225
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,90.518634
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,479.873478
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,253.231231
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,89.082644
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,89.747953
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,89.638765
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,89.706539
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,482.741221
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,252.015911
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,90.628353
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,90.126208
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,90.390666
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,90.252542
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,482.712646
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,253.337821
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,91.517874
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,90.353729
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,89.392618
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,92.032912
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,481.521949
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,255.497299
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,91.302694
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,89.860492
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,89.891491
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,90.353699
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,484.074643
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,250.806635
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,89.957647
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,89.296994
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,89.648281
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,89.783730
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,481.612391
5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,252.941774
6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,90.471074
6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,89.794022
6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,89.854593
6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,32,4,89.509624
6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,32,4,481.848720
6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,32,4,254.270850
7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,32,4,90.475609
7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,32,4,90.129106
7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,32,4,89.456218
7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,32,4,90.166879
7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,32,4,483.609887
7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,32,4,254.536315
8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,32,4,94.225245
8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,32,4,90.263608
8,v_proj,blk.8.attn_v.weight,Q4_0,4096,4096,32,4,89.866872
8,o_proj,blk.8.attn_output.weight,Q4_0,4096,4096,32,4,91.636461
8,ffn_gate,blk.8.ffn_gate.weight,Q4_0,4096,11008,32,4,481.743566
8,ffn_down,blk.8.ffn_down.weight,Q4_0,11008,4096,32,4,251.735084
9,q_proj,blk.9.attn_q.weight,Q4_0,4096,4096,32,4,89.394069
9,k_proj,blk.9.attn_k.weight,Q4_0,4096,4096,32,4,89.498546
9,v_proj,blk.9.attn_v.weight,Q4_0,4096,4096,32,4,90.956814
9,o_proj,blk.9.attn_output.weight,Q4_0,4096,4096,32,4,90.786827
9,ffn_gate,blk.9.ffn_gate.weight,Q4_0,4096,11008,32,4,481.481557
9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,32,4,253.705280
10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,32,4,90.842551
10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,32,4,90.324595
10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,32,4,90.153782
10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,32,4,90.715195
10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,32,4,481.724989
10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,32,4,253.786021
11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,32,4,91.221310
11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,32,4,90.280510
11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,32,4,89.765629
11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,32,4,90.207703
11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,32,4,482.370861
11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,32,4,254.016314
12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,32,4,89.676967
12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,32,4,89.560389
12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,32,4,89.799011
12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,32,4,89.889094
12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,32,4,480.654227
12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,32,4,252.599909
