# MemVanta trained-model layer profile
prefill_ms=35830.7 decode_total_ms=9759.3 sampling_ms=0.495226
prefill_cycles_per_token=726716250.81 decode_cycles_per_token=1583498398.62
qkv_projection_ms=10366.11 attention_output_projection_ms=3462.47 ffn_gemm_ms=28089.03 output_head_ms=2941.60
non_gemm_core_ms=730.32 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,324.18,108.40,875.18,1307.76,2.92,9.08
1,321.66,107.49,877.02,1306.17,2.91,9.07
2,324.42,108.04,878.46,1310.92,2.92,9.10
3,325.01,109.83,879.33,1314.17,2.93,9.13
4,324.26,108.06,877.01,1309.34,2.92,9.09
5,322.38,107.64,877.40,1307.41,2.91,9.08
6,323.51,107.28,878.29,1309.07,2.92,9.09
7,323.25,107.87,880.43,1311.55,2.92,9.11
8,327.64,109.36,877.18,1314.19,2.93,9.13
9,323.98,108.49,877.33,1309.80,2.92,9.10
10,324.78,108.41,878.44,1311.63,2.92,9.11
11,324.44,108.77,878.51,1311.72,2.92,9.11
12,322.37,107.70,875.56,1305.63,2.91,9.07
13,323.69,107.93,878.42,1310.04,2.92,9.10
14,322.14,107.09,876.70,1305.93,2.91,9.07
15,323.72,107.84,878.85,1310.42,2.92,9.10
16,322.34,107.45,877.48,1307.27,2.91,9.08
17,323.36,107.79,877.24,1308.38,2.92,9.09
18,325.99,108.10,881.15,1315.24,2.93,9.13
19,325.60,109.87,879.40,1314.87,2.93,9.13
20,322.88,108.79,875.88,1307.54,2.91,9.08
21,322.69,108.64,875.29,1306.63,2.91,9.07
22,327.10,108.63,878.04,1313.77,2.93,9.12
23,325.84,108.40,876.16,1310.39,2.92,9.10
24,326.34,109.19,876.84,1312.36,2.93,9.11
25,324.77,108.88,878.44,1312.09,2.92,9.11
26,322.56,107.25,879.48,1309.29,2.92,9.09
27,323.82,107.23,877.61,1308.66,2.92,9.09
28,322.94,108.11,879.45,1310.50,2.92,9.10
29,323.08,108.11,878.43,1309.62,2.92,9.09
30,323.19,107.18,875.15,1305.52,2.91,9.07
31,322.19,108.65,878.90,1309.74,2.92,9.10
profile_csv=sevenb-ffn-kernel-ab/optimized-1.csv
