# MemVanta trained-model layer profile
prefill_ms=46773 decode_total_ms=12781.6 sampling_ms=0.646153
prefill_cycles_per_token=948648971.77 decode_cycles_per_token=2073888840.56
qkv_projection_ms=13786.71 attention_output_projection_ms=4549.78 ffn_gemm_ms=36726.13 output_head_ms=3424.53
non_gemm_core_ms=1066.83 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,436.55,143.99,1158.72,1739.26,2.97,12.08
1,434.38,144.41,1144.66,1723.45,2.95,11.97
2,430.01,141.19,1144.56,1715.76,2.93,11.92
3,429.87,141.13,1147.97,1718.96,2.94,11.94
4,429.13,142.55,1143.06,1714.73,2.93,11.91
5,430.62,141.93,1149.85,1722.41,2.94,11.96
6,431.13,141.96,1149.08,1722.17,2.94,11.96
7,430.68,140.62,1149.11,1720.41,2.94,11.95
8,429.52,141.84,1144.82,1716.18,2.93,11.92
9,429.95,140.96,1145.50,1716.41,2.93,11.92
10,427.72,142.85,1147.13,1717.70,2.94,11.93
11,429.90,141.53,1150.05,1721.49,2.94,11.95
12,429.55,141.83,1150.48,1721.86,2.94,11.96
13,429.36,141.54,1143.34,1714.24,2.93,11.90
14,431.47,141.66,1150.37,1723.50,2.95,11.97
15,430.58,140.60,1145.79,1716.97,2.94,11.92
16,431.03,142.18,1141.15,1714.36,2.93,11.91
17,429.35,143.95,1145.24,1718.54,2.94,11.93
18,430.28,141.77,1145.15,1717.20,2.94,11.92
19,431.83,143.06,1153.82,1728.71,2.96,12.00
20,429.30,143.38,1148.59,1721.27,2.94,11.95
21,429.84,141.52,1155.65,1727.00,2.95,11.99
22,429.36,141.18,1142.35,1712.89,2.93,11.90
23,436.60,140.47,1152.52,1729.59,2.96,12.01
24,429.93,142.67,1147.31,1719.91,2.94,11.94
25,431.90,142.39,1146.30,1720.59,2.94,11.95
26,431.84,143.02,1142.37,1717.22,2.94,11.93
27,431.18,142.47,1147.49,1721.14,2.94,11.95
28,428.95,144.05,1144.02,1717.01,2.94,11.92
29,429.64,142.55,1149.14,1721.33,2.94,11.95
30,434.56,142.75,1151.46,1728.76,2.96,12.01
31,430.71,141.80,1149.08,1721.59,2.94,11.96
profile_csv=sevenb-ffn-kernel-ab/optimized-2.csv
