layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,124.030572
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,123.819495
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,124.321697
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,124.184905
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,323.440395
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,322.324421
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,324.960552
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,124.360948
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,123.620148
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,124.259352
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,123.948546
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,323.546894
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,323.048403
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,326.186247
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,124.749969
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,125.660302
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,125.115953
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,124.406728
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,325.124371
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,324.097228
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,323.295199
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,126.221847
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,123.631637
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,124.441614
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,124.122818
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,321.288243
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,321.259672
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,322.210205
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,125.212406
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,124.508306
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,124.940338
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,124.631906
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,323.627387
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,322.297948
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,319.606419
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,126.371513
