# MemVanta trained-model layer profile
prefill_ms=67246.6 decode_total_ms=11542.7 sampling_ms=0.663675
prefill_cycles_per_token=1284742535.41 decode_cycles_per_token=1764174086.81
qkv_projection_ms=14119.47 attention_output_projection_ms=4875.83 ffn_gemm_ms=55685.41 output_head_ms=3093.55
non_gemm_core_ms=1014.37 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,442.70,152.74,1749.39,2344.83,3.01,16.28
1,440.42,151.15,1734.80,2326.36,2.99,16.16
2,441.37,151.38,1740.07,2332.82,3.00,16.20
3,443.19,152.60,1743.28,2339.07,3.01,16.24
4,440.93,152.02,1732.06,2325.01,2.99,16.15
5,438.35,152.74,1733.39,2324.48,2.99,16.14
6,441.78,151.97,1739.26,2333.02,3.00,16.20
7,439.65,152.44,1736.53,2328.63,2.99,16.17
8,441.43,153.13,1736.37,2330.92,3.00,16.19
9,440.52,151.80,1729.62,2321.94,2.99,16.12
10,439.56,152.35,1731.30,2323.21,2.99,16.13
11,439.54,151.62,1747.33,2338.49,3.01,16.24
12,441.19,153.21,1719.77,2314.18,2.98,16.07
13,439.29,151.41,1742.87,2333.56,3.00,16.21
14,439.27,152.04,1738.55,2329.86,3.00,16.18
15,440.33,152.02,1736.76,2329.11,2.99,16.17
16,439.31,152.89,1725.07,2317.27,2.98,16.09
17,441.07,151.87,1747.23,2340.18,3.01,16.25
18,441.46,153.32,1751.35,2346.13,3.02,16.29
19,442.63,151.79,1750.38,2344.80,3.01,16.28
20,443.94,151.46,1732.03,2327.42,2.99,16.16
21,441.08,152.96,1734.97,2329.01,2.99,16.17
22,440.53,153.48,1754.32,2348.32,3.02,16.31
23,441.82,152.09,1735.90,2329.81,3.00,16.18
24,440.12,152.31,1745.95,2338.39,3.01,16.24
25,441.60,153.08,1733.59,2328.27,2.99,16.17
26,443.13,151.44,1761.38,2355.94,3.03,16.36
27,445.62,151.42,1740.02,2337.06,3.00,16.23
28,440.25,151.52,1753.14,2344.91,3.02,16.28
29,444.50,155.59,1736.61,2336.70,3.00,16.23
30,437.53,153.95,1742.33,2333.81,3.00,16.21
31,445.37,152.03,1749.78,2347.18,3.02,16.30
profile_csv=sevenb-ffn-kernel-ab/optimized.csv
