# MemVanta trained-model layer profile
prefill_ms=47348.1 decode_total_ms=11458 sampling_ms=0.368835
prefill_cycles_per_token=904589647.47 decode_cycles_per_token=1751245761.38
qkv_projection_ms=13709.17 attention_output_projection_ms=4553.58 ffn_gemm_ms=36390.27 output_head_ms=3043.76
non_gemm_core_ms=1109.00 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,429.39,142.09,1139.91,1711.39,2.97,11.88
1,430.79,142.16,1133.59,1706.53,2.96,11.85
2,427.23,141.90,1135.56,1704.69,2.95,11.84
3,428.77,142.66,1134.96,1706.38,2.96,11.85
4,429.13,141.90,1139.16,1710.19,2.96,11.88
5,426.32,142.58,1134.38,1703.29,2.95,11.83
6,425.85,141.81,1138.48,1706.13,2.96,11.85
7,428.59,141.41,1136.32,1706.32,2.96,11.85
8,429.04,141.63,1135.67,1706.35,2.96,11.85
9,427.63,142.15,1135.76,1705.54,2.96,11.84
10,427.69,142.33,1139.34,1709.35,2.96,11.87
11,426.84,142.44,1132.85,1702.13,2.95,11.82
12,434.07,142.50,1141.60,1718.16,2.98,11.93
13,428.41,141.75,1133.35,1703.51,2.95,11.83
14,429.13,142.46,1137.88,1709.46,2.96,11.87
15,429.17,142.81,1133.74,1705.73,2.96,11.85
16,427.08,142.62,1131.48,1701.18,2.95,11.81
17,431.01,142.88,1133.51,1707.40,2.96,11.86
18,427.49,142.92,1144.24,1714.64,2.97,11.91
19,427.38,141.74,1138.84,1707.96,2.96,11.86
20,427.88,143.05,1141.10,1712.03,2.97,11.89
21,427.87,142.66,1140.55,1711.08,2.97,11.88
22,426.88,141.64,1131.21,1699.72,2.95,11.80
23,429.02,142.39,1132.41,1703.83,2.95,11.83
24,426.95,142.79,1136.71,1706.45,2.96,11.85
25,427.37,141.91,1138.87,1708.14,2.96,11.86
26,431.36,142.22,1152.36,1725.95,2.99,11.99
27,428.92,142.84,1136.10,1707.85,2.96,11.86
28,430.23,141.95,1139.66,1711.84,2.97,11.89
29,427.70,142.94,1132.28,1702.92,2.95,11.83
30,425.88,142.06,1131.48,1699.41,2.95,11.80
31,428.12,142.40,1146.94,1717.46,2.98,11.93
profile_csv=sevenb-ffn-tuning/fp32-b16.csv
