layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,119.222214
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,119.021464
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,119.416637
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,116.505254
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,319.278626
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,318.083795
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,384.066004
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,118.912620
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,118.952552
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,118.720229
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,115.375699
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,319.158451
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,317.952367
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,385.063776
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,120.909661
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,119.546475
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,119.884863
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,115.846619
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,321.246157
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,320.169749
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,373.668059
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,118.991499
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,118.555631
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,119.425810
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,115.441701
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,320.251301
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,318.768947
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,368.655726
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,119.531110
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,119.084763
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,118.763522
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,115.919228
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,320.281303
