# MemVanta trained-model layer profile
prefill_ms=115804 decode_total_ms=9755.05 sampling_ms=0.484304
prefill_cycles_per_token=2348719239.75 decode_cycles_per_token=1582804011.75
qkv_projection_ms=30351.27 attention_output_projection_ms=10125.55 ffn_gemm_ms=81238.55 output_head_ms=2945.65
non_gemm_core_ms=897.44 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,949.82,316.36,2546.75,3812.93,3.06,26.48
1,947.68,315.56,2539.75,3802.99,3.05,26.41
2,951.46,315.68,2536.01,3803.15,3.05,26.41
3,949.99,321.18,2544.52,3815.69,3.06,26.50
4,946.77,315.56,2540.26,3802.59,3.05,26.41
5,946.78,316.94,2535.16,3798.88,3.05,26.38
6,947.35,319.02,2536.01,3802.38,3.05,26.41
7,946.73,315.88,2536.01,3798.62,3.05,26.38
8,947.16,315.58,2538.31,3801.05,3.05,26.40
9,947.01,316.18,2537.10,3800.29,3.05,26.39
10,946.68,315.94,2536.80,3799.42,3.05,26.38
11,954.81,316.56,2535.21,3806.58,3.05,26.43
12,947.79,315.72,2536.16,3799.67,3.05,26.39
13,946.51,315.84,2535.74,3798.09,3.05,26.38
14,947.10,315.56,2536.40,3799.06,3.05,26.38
15,947.25,315.72,2542.10,3805.06,3.05,26.42
16,949.37,315.76,2546.58,3811.71,3.06,26.47
17,955.05,316.58,2537.38,3809.01,3.06,26.45
18,951.93,322.43,2538.91,3813.28,3.06,26.48
19,946.68,315.69,2535.56,3797.93,3.05,26.37
20,946.69,315.68,2534.71,3797.07,3.05,26.37
21,947.71,315.68,2549.16,3812.54,3.06,26.48
22,948.14,316.05,2536.15,3800.34,3.05,26.39
23,952.13,315.59,2535.72,3803.44,3.05,26.41
24,947.58,316.50,2547.30,3811.38,3.06,26.47
25,947.33,316.70,2537.29,3801.32,3.05,26.40
26,946.69,317.08,2541.78,3805.54,3.05,26.43
27,947.60,315.68,2534.93,3798.21,3.05,26.38
28,946.84,315.64,2539.39,3801.87,3.05,26.40
29,950.95,316.05,2540.02,3807.02,3.05,26.44
30,948.88,315.73,2535.36,3799.96,3.05,26.39
31,946.81,315.45,2536.05,3798.31,3.05,26.38
profile_csv=sevenb-ffn-tuning/q8act-b16.csv
