layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,64,2,351.987038
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,64,2,351.614549
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,64,2,351.388075
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,64,2,350.993947
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,64,2,938.998996
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,64,2,938.276909
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,64,2,944.191454
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,64,2,351.042674
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,64,2,351.102940
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,64,2,351.000511
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,64,2,350.758545
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,64,2,938.337282
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,64,2,938.600464
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,64,2,944.376163
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,64,2,350.901476
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,64,2,350.940209
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,64,2,350.782640
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,64,2,350.772212
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,64,2,938.303154
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,64,2,938.702355
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,64,2,943.372888
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,64,2,351.147165
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,64,2,350.880253
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,64,2,350.841322
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,64,2,350.966714
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,64,2,938.697179
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,64,2,938.646649
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,64,2,944.131514
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,64,2,350.816658
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,64,2,350.763888
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,64,2,350.843388
