# MemVanta trained-model layer profile
prefill_ms=136268 decode_total_ms=11397 sampling_ms=0.360305
prefill_cycles_per_token=2603369070.02 decode_cycles_per_token=1741891116.81
qkv_projection_ms=35797.31 attention_output_projection_ms=11934.84 ffn_gemm_ms=95901.23 output_head_ms=3048.88
non_gemm_core_ms=982.38 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,1124.30,375.12,2996.35,4495.77,3.06,31.22
1,1118.66,372.67,2996.24,4487.57,3.06,31.16
2,1118.29,372.60,2995.27,4486.16,3.06,31.15
3,1118.50,372.78,2996.15,4487.44,3.06,31.16
4,1118.14,372.57,2996.13,4486.84,3.06,31.16
5,1120.78,375.76,2999.21,4495.74,3.06,31.22
6,1118.53,372.93,2995.51,4486.96,3.06,31.16
7,1118.74,372.55,2994.41,4485.70,3.06,31.15
8,1117.63,372.54,3003.36,4493.53,3.06,31.21
9,1117.66,373.16,2997.84,4488.66,3.06,31.17
10,1117.97,372.81,2995.02,4485.81,3.06,31.15
11,1118.00,372.57,2995.35,4485.91,3.06,31.15
12,1118.12,372.77,2996.01,4486.90,3.06,31.16
13,1118.17,372.79,2994.70,4485.66,3.06,31.15
14,1118.19,373.22,2999.20,4490.61,3.06,31.18
15,1118.30,372.77,2995.66,4486.74,3.06,31.16
16,1118.23,372.88,2996.56,4487.67,3.06,31.16
17,1118.35,373.12,2995.20,4486.67,3.06,31.16
18,1118.45,372.67,2998.23,4489.35,3.06,31.18
19,1118.98,372.65,2996.57,4488.20,3.06,31.17
20,1118.32,372.67,2997.10,4488.09,3.06,31.17
21,1118.51,373.35,2995.85,4487.71,3.06,31.16
22,1120.38,372.71,2996.87,4489.97,3.06,31.18
23,1117.99,372.90,2999.07,4489.96,3.06,31.18
24,1119.19,372.79,2995.99,4487.97,3.06,31.17
25,1118.51,373.03,2996.26,4487.81,3.06,31.17
26,1118.55,372.50,2996.06,4487.11,3.06,31.16
27,1118.26,372.77,2998.17,4489.20,3.06,31.17
28,1118.03,372.75,3000.32,4491.10,3.06,31.19
29,1119.24,372.89,2998.11,4490.24,3.06,31.18
30,1118.09,372.82,2996.50,4487.41,3.06,31.16
31,1118.24,372.73,2997.98,4488.95,3.06,31.17
profile_csv=sevenb-ffn-tuning/q8act-b64.csv
