layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,124.759299
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,124.126022
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,124.879625
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,125.474069
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,331.260367
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,330.993605
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,376.022480
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,124.523728
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,124.078343
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,124.178652
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,125.347869
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,331.622860
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,327.471082
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,381.672383
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,123.595838
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,122.406565
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,122.998187
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,123.457998
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,328.079431
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,327.421690
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,388.096753
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,123.627836
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,122.939052
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,123.605684
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,123.191897
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,328.927283
