# MemVanta trained-model layer profile
prefill_ms=50281.3 decode_total_ms=11491 sampling_ms=0.396433
prefill_cycles_per_token=960610763.73 decode_cycles_per_token=1756255577.56
qkv_projection_ms=14052.00 attention_output_projection_ms=4709.61 ffn_gemm_ms=38932.39 output_head_ms=3043.50
non_gemm_core_ms=1034.39 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,440.33,147.47,1213.18,1800.97,2.97,12.51
1,438.53,147.30,1215.46,1801.29,2.97,12.51
2,434.71,145.27,1218.51,1798.49,2.96,12.49
3,435.74,145.43,1205.11,1786.28,2.94,12.40
4,439.25,147.04,1215.46,1801.75,2.97,12.51
5,437.93,146.46,1217.87,1802.25,2.97,12.52
6,437.39,146.57,1215.74,1799.70,2.96,12.50
7,439.72,146.80,1215.07,1801.60,2.97,12.51
8,440.96,147.67,1212.53,1801.15,2.97,12.51
9,437.92,147.17,1216.08,1801.17,2.97,12.51
10,438.73,147.48,1219.44,1805.65,2.97,12.54
11,439.63,146.76,1207.92,1794.32,2.95,12.46
12,438.48,146.27,1214.28,1799.03,2.96,12.49
13,439.09,148.39,1211.92,1799.40,2.96,12.50
14,438.38,146.91,1200.94,1786.23,2.94,12.40
15,438.66,146.73,1217.80,1803.19,2.97,12.52
16,438.92,147.54,1248.70,1835.17,3.02,12.74
17,439.94,147.08,1214.96,1801.98,2.97,12.51
18,437.48,145.63,1228.90,1812.01,2.98,12.58
19,443.02,149.62,1231.31,1823.94,3.00,12.67
20,446.74,148.91,1223.37,1819.02,2.99,12.63
21,447.38,150.35,1230.28,1828.01,3.01,12.69
22,437.94,147.62,1208.67,1794.23,2.95,12.46
23,438.49,146.47,1214.69,1799.65,2.96,12.50
24,437.09,147.79,1221.08,1805.97,2.97,12.54
25,438.07,147.28,1220.40,1805.74,2.97,12.54
26,439.34,146.88,1211.61,1797.83,2.96,12.48
27,439.38,147.19,1218.79,1805.36,2.97,12.54
28,436.58,146.45,1202.90,1785.93,2.94,12.40
29,438.76,146.98,1216.86,1802.61,2.97,12.52
30,439.91,147.08,1211.82,1798.81,2.96,12.49
31,437.50,147.03,1210.73,1795.27,2.96,12.47
profile_csv=sevenb-throughput-profile/layer-profile.csv
