layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,288,288,16,2,0.258816
0,k_proj,blk.0.attn_k.weight,Q4_0,288,288,16,2,0.224150
0,v_proj,blk.0.attn_v.weight,Q4_0,288,288,16,2,0.211227
0,o_proj,blk.0.attn_output.weight,Q4_0,288,288,16,2,0.217930
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,288,768,16,2,0.507034
0,ffn_up,blk.0.ffn_up.weight,Q4_0,288,768,16,2,0.548391
0,ffn_down,blk.0.ffn_down.weight,Q4_0,768,288,16,2,0.446168
1,q_proj,blk.1.attn_q.weight,Q4_0,288,288,16,2,0.217619
1,k_proj,blk.1.attn_k.weight,Q4_0,288,288,16,2,0.206067
1,v_proj,blk.1.attn_v.weight,Q4_0,288,288,16,2,0.219642
1,o_proj,blk.1.attn_output.weight,Q4_0,288,288,16,2,0.240521
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,288,768,16,2,0.471086
1,ffn_up,blk.1.ffn_up.weight,Q4_0,288,768,16,2,0.465935
1,ffn_down,blk.1.ffn_down.weight,Q4_0,768,288,16,2,0.447641
2,q_proj,blk.2.attn_q.weight,Q4_0,288,288,16,2,0.240533
2,k_proj,blk.2.attn_k.weight,Q4_0,288,288,16,2,0.225093
2,v_proj,blk.2.attn_v.weight,Q4_0,288,288,16,2,0.225133
2,o_proj,blk.2.attn_output.weight,Q4_0,288,288,16,2,0.224041
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,288,768,16,2,0.531330
2,ffn_up,blk.2.ffn_up.weight,Q4_0,288,768,16,2,0.494831
2,ffn_down,blk.2.ffn_down.weight,Q4_0,768,288,16,2,0.444575
3,q_proj,blk.3.attn_q.weight,Q4_0,288,288,16,2,0.233790
3,k_proj,blk.3.attn_k.weight,Q4_0,288,288,16,2,0.217289
3,v_proj,blk.3.attn_v.weight,Q4_0,288,288,16,2,0.202220
3,o_proj,blk.3.attn_output.weight,Q4_0,288,288,16,2,0.216075
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,288,768,16,2,0.429378
